country_iso3166_alpha3,gtap_country_number,gtap_country_code,gtap_country_group,gtap_country_name,gtap10_country_number,gtap10_country_code,gtap10_country_group,gtap10_country_name,env_ssp_country_code,env_ssp_country_name
"STP",140,"XAC","Rest of South and Central Africa","Sao Tome and Principe",123,"XCF","Rest of Central Africa","Sao Tome and Principe","STP","Sao Tome and Principe, The Democratic Republic of"
"SUR",42,"XSM","Rest of South America","Suriname",41,"XSM","Rest of South America","Suriname","SUR","Suriname, The Republic of"
"SVK",79,"SVK","Slovakia","Slovakia",77,"SVK","Slovakia","Slovakia","SVK","Slovak Republic, The"
"SVN",80,"SVN","Slovenia","Slovenia",78,"SVN","Slovenia","Slovenia","SVN","Slovenia, The Republic of"
"SWE",82,"SWE","Sweden","Sweden",80,"SWE","Sweden","Sweden","SWE","Sweden, The Kingdom of"
"SWZ",156,"SWZ","Eswatini","Eswatini",140,"XSC","Rest of South African Customs Union","Eswatini","SWZ","Swaziland, The Kingdom of"
"SXM",55,"XCB","Rest of Caribbean","Sint Maarten (Dutch part)",53,"XCB","Rest of Caribbean","Netherlands Antilles","ANT","Netherland Antilles"
"SYC",154,"XEC","Rest of Eastern Africa","Seychelles",136,"XEC","Rest of Eastern Africa","Seychelles","SYC","Seychelles, The Republic of"
"SYR",113,"SYR","Syrian Arab Republic","Syrian Arab Republic",108,"XWS","Rest of Western Asia","Syrian Arab Republic (Syria)","SYR","Syrian Arab Republic, The"
"TCA",55,"XCB","Rest of Caribbean","Turks and Caicos Islands",53,"XCB","Rest of Caribbean","Turks and Caicos Islands","TCA","Turks and Caicos Islands, The"
"TCD",135,"TCD","Chad","Chad",123,"XCF","Rest of Central Africa","Chad","TCD","Chad, The Republic of"
"TGO",132,"TGO","Togo","Togo",121,"TGO","Togo","Togo","TGO","Togolese Republic, The"
"THA",18,"THA","Thailand","Thailand",18,"THA","Thailand","Thailand","THA","Thailand, The Kingdom of"
"TJK",96,"TJK","Tajikistan","Tajikistan",93,"TJK","Tajikistan","Tajikistan","TJK","Tajikistan, The Republic of"
